0,Gene Count,Interesting Gene Count,Hypergeom pvalue
GO_NERVOUS_SYSTEM_PROCESS,1462,25,8.344989442268042e-12
GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS,523,1,4.617052310396831e-11
HMGA1_TARGET_GENES,1222,19,5.27332420821642e-11
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,1375,24,6.52807035624507e-11
GO_SENSORY_PERCEPTION_OF_SMELL,452,0,6.591885011964855e-11
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE,1731,36,7.050391099188697e-11
GO_SENSORY_PERCEPTION,985,13,2.1780107857198151e-10
KEGG_OLFACTORY_TRANSDUCTION,389,0,1.7889016004221371e-09
GO_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION,532,3,4.3024884698182785e-09
GO_GENE_SILENCING,838,14,2.244563437685511e-07
GO_DETECTION_OF_STIMULUS,703,10,2.6543986869636614e-07
PAX3_TARGET_GENES,1799,50,7.776413600609867e-07
GO_BIOLOGICAL_ADHESION,1481,39,1.8358731399609573e-06
GO_ADAPTIVE_IMMUNE_RESPONSE,687,12,5.363416117963987e-06
GO_CELL_MOTILITY,1819,54,5.93223555430066e-06
GO_HUMORAL_IMMUNE_RESPONSE,370,3,7.273055717351558e-06
GCM2_TARGET_GENES,1974,62,1.5728478075369747e-05
GO_CELLULAR_COMPONENT_MORPHOGENESIS,800,17,1.8416863984733076e-05
GO_CELLULAR_LIPID_METABOLIC_PROCESS,1098,28,2.2443038365962895e-05
GO_REGULATION_OF_BLOOD_CIRCULATION,303,2,2.351942308841336e-05
GO_EXTRACELLULAR_MATRIX,568,10,4.0127549116056754e-05
GO_ION_TRANSPORT,1696,53,5.754870935578968e-05
GO_REGULATION_OF_CELL_DIFFERENTIATION,1945,64,8.24289214912714e-05
GO_WOUND_HEALING,536,10,0.00012223932588059126
GO_DEFENSE_RESPONSE_TO_BACTERIUM,341,4,0.00012549543183560606
GO_NEURON_DIFFERENTIATION,1406,43,0.00015453033981590263
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,1202,35,0.00016935114571658586
GO_SYNAPTIC_SIGNALING,751,18,0.0001940568692416764
GO_CELL_CELL_ADHESION,884,23,0.00020522559788118837
GO_NEURON_DEVELOPMENT,1143,33,0.00020706503950262403
ZNF486_TARGET_GENES,292,3,0.00021494904980338535
GO_RESPONSE_TO_BACTERIUM,743,18,0.00024470480511100824
GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,1081,31,0.0002716663885385307
GO_SECRETION,1618,53,0.000305446432861365
GO_CILIUM_MOVEMENT,156,0,0.0003261292960711867
GO_CELL_PART_MORPHOGENESIS,705,17,0.0003325987746015028
GO_COAGULATION,349,5,0.00035538920593226403
GO_PROTEIN_KINASE_B_SIGNALING,278,3,0.00038723873445557766
GO_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS,672,16,0.00039062104629949794
GO_LIPID_METABOLIC_PROCESS,1437,46,0.0003934133002262153
GO_METAL_ION_TRANSPORT,909,25,0.0004239346118928475
GO_LIPID_CATABOLIC_PROCESS,343,5,0.00044728429806033005
GO_PLASMA_MEMBRANE_REGION,1235,38,0.00045020297812882487
GO_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION,1033,30,0.00047050900358606843
GO_CELL_CELL_SIGNALING,1809,62,0.00047864371217050037
GO_KERATINOCYTE_DIFFERENTIATION,306,4,0.0005142889217445279
GO_CILIUM,659,16,0.0005697170143045942
GO_FATTY_ACID_METABOLIC_PROCESS,396,7,0.0006571242126358214
GO_NEUROGENESIS,1674,57,0.0006659310422204053
GO_ION_TRANSMEMBRANE_TRANSPORT,1168,36,0.0006676617831679655
GO_REGULATION_OF_BODY_FLUID_LEVELS,513,11,0.000689122177285343
GO_SKIN_DEVELOPMENT,425,8,0.0006899645921712948
GO_HEART_PROCESS,297,4,0.0007336335086824965
GO_LYMPHOCYTE_MEDIATED_IMMUNITY,359,6,0.000813222573548896
GO_T_CELL_RECEPTOR_COMPLEX,134,0,0.0010157982858051068
GO_DEFENSE_RESPONSE,1814,64,0.001037207016422942
GO_CHEMICAL_HOMEOSTASIS,1213,39,0.0012366921029587719
GO_CELL_ACTIVATION,1475,50,0.0012717059143500578
GO_RESPONSE_TO_WOUNDING,656,17,0.0013181237463378822
GO_LEUKOCYTE_MEDIATED_IMMUNITY,885,26,0.0014439649503054704
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT,489,11,0.0014534318874409185
GO_CATION_TRANSPORT,1181,38,0.0014554661213819163
GO_CELL_FATE_COMMITMENT,278,4,0.001535559531375442
GO_REGULATION_OF_CELL_DEVELOPMENT,982,30,0.0015501122726084982
GO_SECRETORY_GRANULE,856,25,0.0015785363788531005
GO_LEUKOCYTE_MIGRATION,514,12,0.0015859861127713968
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,277,4,0.0015957154809317312
GO_NEGATIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,207,2,0.0016829936496156285
GO_RECEPTOR_COMPLEX,512,12,0.0016831001870299138
GO_POTASSIUM_ION_TRANSPORT,242,3,0.0017004932550180349
GO_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX,427,9,0.0017079879616235093
GO_ORGANIC_ACID_BIOSYNTHETIC_PROCESS,368,7,0.001733143993240306
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,168,1,0.0017389612873827233
GO_LEUKOCYTE_DIFFERENTIATION,538,13,0.0017579136493957857
GO_IMMUNE_EFFECTOR_PROCESS,1292,43,0.0017600505938903867
